#         mode #    freq (cm-1)     proj value
          46.00          163.85            0.89
          47.00          159.58            0.23
          55.00          146.11           -0.16
          49.00          156.95            0.13
          40.00          193.83            0.10
          56.00          143.38            0.09
          61.00          138.31           -0.09
          41.00          190.52            0.08
          68.00          131.01           -0.07
          26.00          218.18           -0.06
          58.00          142.97           -0.06
          90.00          109.49            0.06
          73.00          124.66            0.06
          78.00          119.58           -0.05
          53.00          150.68            0.05
         100.00           99.92            0.05
         104.00           93.21            0.05
          95.00          103.73           -0.05
          34.00          200.79           -0.04
          13.00          254.93           -0.04
          51.00          153.67            0.04
          75.00          121.14           -0.04
          97.00          102.52            0.04
         133.00           44.30            0.03
           4.00          267.18           -0.03
          60.00          138.73           -0.03
           9.00          262.43           -0.03
          74.00          124.07           -0.03
          17.00          241.78           -0.03
         135.00            1.99            0.03
          70.00          128.42           -0.03
         132.00           46.61            0.03
         105.00           92.00           -0.03
          22.00          226.05           -0.03
         127.00           59.30            0.03
          86.00          113.01           -0.03
          66.00          134.04            0.02
         126.00           60.46           -0.02
         116.00           77.00            0.02
         130.00           50.85           -0.02
           1.00          273.76           -0.02
         123.00           65.64            0.02
          88.00          111.26           -0.02
         112.00           81.50           -0.02
           5.00          265.89            0.02
          64.00          136.59            0.02
           7.00          263.78           -0.02
          32.00          205.97            0.01
          87.00          112.59           -0.01
         109.00           87.68           -0.01
          54.00          146.14           -0.01
          94.00          105.73            0.01
          15.00          249.59           -0.01
          84.00          114.19            0.01
          28.00          209.74           -0.01
          80.00          116.17           -0.01
          37.00          196.96           -0.01
         102.00           97.00            0.01
          18.00          239.79            0.01
          83.00          115.47           -0.01
          42.00          182.95           -0.01
         113.00           81.03           -0.01
         121.00           69.34           -0.00
         120.00           71.76           -0.00
          30.00          207.51            0.00
          19.00          233.04           -0.00
          92.00          106.84           -0.00
          71.00          127.24            0.00
         136.00            3.37           -0.00
          14.00          252.96            0.00
           0.00          275.37           -0.00
           2.00          270.71            0.00
          24.00          222.80           -0.00
          57.00          143.34           -0.00
          48.00          158.60            0.00
          98.00          102.26            0.00
          79.00          119.24           -0.00
          36.00          198.11           -0.00
         119.00           71.78            0.00
          38.00          195.40            0.00
         114.00           80.97           -0.00
          50.00          156.19            0.00
         103.00           93.48            0.00
          76.00          120.36            0.00
          63.00          136.73            0.00
         101.00           99.57           -0.00
          72.00          125.16           -0.00
         115.00           77.71            0.00
          35.00          200.54            0.00
          45.00          172.86            0.00
          59.00          141.02            0.00
          39.00          194.50           -0.00
         122.00           65.98            0.00
          81.00          116.07            0.00
          99.00          101.42            0.00
          77.00          120.03           -0.00
          52.00          153.26           -0.00
          96.00          103.28           -0.00
          23.00          224.22            0.00
         106.00           91.38            0.00
         124.00           62.68            0.00
         125.00           61.84           -0.00
          89.00          110.86            0.00
          85.00          113.71            0.00
          93.00          105.88           -0.00
         111.00           82.93            0.00
          43.00          181.71           -0.00
          91.00          108.11           -0.00
          31.00          206.40           -0.00
          82.00          115.97            0.00
          27.00          213.67           -0.00
          67.00          132.94           -0.00
         134.00           42.15           -0.00
         128.00           57.98           -0.00
         108.00           89.14           -0.00
          33.00          204.26            0.00
          62.00          137.86           -0.00
          44.00          176.15           -0.00
          12.00          256.24            0.00
         131.00           47.76           -0.00
          10.00          261.71           -0.00
         107.00           89.84           -0.00
           3.00          269.29            0.00
          29.00          208.73            0.00
           8.00          263.55           -0.00
         129.00           51.52           -0.00
         117.00           75.85           -0.00
         137.00            3.84            0.00
          69.00          129.22            0.00
          25.00          220.89           -0.00
          20.00          232.60           -0.00
           6.00          264.94           -0.00
          65.00          135.75            0.00
         110.00           85.58           -0.00
          16.00          244.08           -0.00
          21.00          229.30           -0.00
          11.00          259.05           -0.00
         118.00           73.98            0.00
